line_id,title,pony,prev_pony,prev_dialog,dialog,next_pony,next_dialog
1,A Matter of Principals,Discord,,,"Oh, poo! I just ordered business cards!",Discord,"Oh, back so soon?"
2,A Matter of Principals,Discord,Discord,"Oh, poo! I just ordered business cards!","Oh, back so soon?",Discord,"[through mock tears] I hate goodbyes, don't you? I just go to pieces."
3,A Matter of Principals,Discord,Discord,"Oh, back so soon?","[through mock tears] I hate goodbyes, don't you? I just go to pieces.",Discord,"To fill in for Twilight, of course, as head-draconequus. I seem to recall a whole song about how this school is where you make your own rules. Now, who better at that than me?"
4,A Matter of Principals,Discord,Discord,"[through mock tears] I hate goodbyes, don't you? I just go to pieces.","To fill in for Twilight, of course, as head-draconequus. I seem to recall a whole song about how this school is where you make your own rules. Now, who better at that than me?",Discord,Really? I thought there must be some mistake.
5,A Matter of Principals,Discord,Discord,"To fill in for Twilight, of course, as head-draconequus. I seem to recall a whole song about how this school is where you make your own rules. Now, who better at that than me?",Really? I thought there must be some mistake.,Discord,"[writing] ""Item one <U+0096> Gravity is optional."""
6,A Matter of Principals,Discord,Discord,Really? I thought there must be some mistake.,"[writing] ""Item one <U+0096> Gravity is optional.""",Discord,"""Item two <U+0096> The school's new mascot is an ambidextrous marmoset."""
7,A Matter of Principals,Discord,Discord,"[writing] ""Item one <U+0096> Gravity is optional.""","""Item two <U+0096> The school's new mascot is an ambidextrous marmoset.""",Discord,"""Item three<U+0097>"""
8,A Matter of Principals,Discord,Discord,"""Item two <U+0096> The school's new mascot is an ambidextrous marmoset.""","""Item three<U+0097>""",Discord,Its schedule was free.
9,A Matter of Principals,Discord,Discord,"""Item three<U+0097>""",Its schedule was free.,Discord,"Mmmm, my, my, my. You do seem like you're in over your head. Won't Twilight be so disappointed with how you're ruining<U+0097>I mean, running her school?"
10,A Matter of Principals,Discord,Discord,Its schedule was free.,"Mmmm, my, my, my. You do seem like you're in over your head. Won't Twilight be so disappointed with how you're ruining<U+0097>I mean, running her school?",Discord,Mine? I thought you were in charge here. But I'm happy to pitch in if you need me.
11,A Matter of Principals,Discord,Discord,"Mmmm, my, my, my. You do seem like you're in over your head. Won't Twilight be so disappointed with how you're ruining<U+0097>I mean, running her school?",Mine? I thought you were in charge here. But I'm happy to pitch in if you need me.,Discord,Happy now?
12,A Matter of Principals,Discord,Discord,Mine? I thought you were in charge here. But I'm happy to pitch in if you need me.,Happy now?,Discord,"Fine! From now on, I won't try to help. At! All!"
13,A Matter of Principals,Discord,Discord,Happy now?,"Fine! From now on, I won't try to help. At! All!",Discord,"[California accent] Yo! Greetings, fellow creatures!"
14,A Matter of Principals,Discord,Discord,"Fine! From now on, I won't try to help. At! All!","[California accent] Yo! Greetings, fellow creatures!",Discord,Is this seat taken?
15,A Matter of Principals,Discord,Discord,"[California accent] Yo! Greetings, fellow creatures!",Is this seat taken?,Discord,Oh! Some thanks for all my help. And after I hired all those substitute teachers for you.
16,A Matter of Principals,Discord,Discord,Is this seat taken?,Oh! Some thanks for all my help. And after I hired all those substitute teachers for you.,Discord,"Oh, I better take this. Hello?"
17,A Matter of Principals,Discord,Discord,Oh! Some thanks for all my help. And after I hired all those substitute teachers for you.,"Oh, I better take this. Hello?",Discord,"Shhh! Really, that's so inconsiderate!"
18,A Matter of Principals,Discord,Discord,"Oh, I better take this. Hello?","Shhh! Really, that's so inconsiderate!",Discord,[snaps fingers] Everything is re-hidden.
19,A Matter of Principals,Discord,Discord,"Shhh! Really, that's so inconsiderate!",[snaps fingers] Everything is re-hidden.,Discord,But then we'd miss out on all those delightful misadventures.
20,A Matter of Principals,Discord,Discord,[snaps fingers] Everything is re-hidden.,But then we'd miss out on all those delightful misadventures.,Discord,"I accept! I mean, I-I-I suppose I can find some time in my busy schedule to help you out. But I will need my own office, expense account, parking space..."
21,A Matter of Principals,Discord,Discord,But then we'd miss out on all those delightful misadventures.,"I accept! I mean, I-I-I suppose I can find some time in my busy schedule to help you out. But I will need my own office, expense account, parking space...",Discord,"My problem? How is the fact that Twilight decided to put an incompetent, power-hungry unicorn in charge of her school my problem?!"
22,A Matter of Principals,Discord,Discord,"I accept! I mean, I-I-I suppose I can find some time in my busy schedule to help you out. But I will need my own office, expense account, parking space...","My problem? How is the fact that Twilight decided to put an incompetent, power-hungry unicorn in charge of her school my problem?!",Discord,I wouldn't be so sure.
23,A Matter of Principals,Discord,Discord,"My problem? How is the fact that Twilight decided to put an incompetent, power-hungry unicorn in charge of her school my problem?!",I wouldn't be so sure.,Discord,Uh... [stuttering] I don't know what you're getting at.
24,A Matter of Principals,Discord,Discord,I wouldn't be so sure.,Uh... [stuttering] I don't know what you're getting at.,Discord,"Take a lap, team!"
25,A Matter of Principals,Discord,Discord,Uh... [stuttering] I don't know what you're getting at.,"Take a lap, team!",Discord,[chuckles] I'm learning so much. Aren't you?
26,A Matter of Principals,Discord,Discord,"Take a lap, team!",[chuckles] I'm learning so much. Aren't you?,Discord,"Why, I'm a student of friendship, of course. Unless you don't think you're good enough to teach me."
27,A Matter of Principals,Discord,Discord,[chuckles] I'm learning so much. Aren't you?,"Why, I'm a student of friendship, of course. Unless you don't think you're good enough to teach me.",Discord,[gasps] You did not!
28,A Matter of Principals,Discord,Discord,"Why, I'm a student of friendship, of course. Unless you don't think you're good enough to teach me.",[gasps] You did not!,Discord,"Oh, he did not! And what did you say?"
29,A Matter of Principals,Discord,Discord,[gasps] You did not!,"Oh, he did not! And what did you say?",Discord,"[chuckles] Well, with a few surprises."
