line_id,title,pony,prev_pony,prev_dialog,dialog,next_pony,next_dialog
1,A Bird in the Hoof,Princess Celestia,,,"Oh, um... thank you.",Princess Celestia,[sips] [sips] [sips] Gotcha!
2,A Bird in the Hoof,Princess Celestia,Princess Celestia,"Oh, um... thank you.",[sips] [sips] [sips] Gotcha!,Princess Celestia,"And what about you, dear? Fluttershy, is it?"
3,A Bird in the Hoof,Princess Celestia,Princess Celestia,[sips] [sips] [sips] Gotcha!,"And what about you, dear? Fluttershy, is it?",Princess Celestia,I understand from Twilight Sparkle's letters that you enjoy tending to the needs of woodland creatures.
4,A Bird in the Hoof,Princess Celestia,Princess Celestia,"And what about you, dear? Fluttershy, is it?",I understand from Twilight Sparkle's letters that you enjoy tending to the needs of woodland creatures.,Princess Celestia,"As do I. As Princess, I care deeply about all creatures, great and small."
5,A Bird in the Hoof,Princess Celestia,Princess Celestia,I understand from Twilight Sparkle's letters that you enjoy tending to the needs of woodland creatures.,"As do I. As Princess, I care deeply about all creatures, great and small.",Princess Celestia,Nothing means more to me than the well-being of all my subjects.
6,A Bird in the Hoof,Princess Celestia,Princess Celestia,"As do I. As Princess, I care deeply about all creatures, great and small.",Nothing means more to me than the well-being of all my subjects.,Princess Celestia,"Ah, Philomena, my pet. You're awake. Do say hello to our gracious hosts."
7,A Bird in the Hoof,Princess Celestia,Princess Celestia,Nothing means more to me than the well-being of all my subjects.,"Ah, Philomena, my pet. You're awake. Do say hello to our gracious hosts.",Princess Celestia,"She is quite a sight, isn't she?"
8,A Bird in the Hoof,Princess Celestia,Princess Celestia,"Ah, Philomena, my pet. You're awake. Do say hello to our gracious hosts.","She is quite a sight, isn't she?",Princess Celestia,"Really? Well, if I must... I'm sorry, everypony. I'm afraid I have to cut the party short. The mayor has requested an audience with me. Royal duty calls. Thank you for a wonderful time. It's been a joy getting to know you all better."
9,A Bird in the Hoof,Princess Celestia,Princess Celestia,"She is quite a sight, isn't she?","Really? Well, if I must... I'm sorry, everypony. I'm afraid I have to cut the party short. The mayor has requested an audience with me. Royal duty calls. Thank you for a wonderful time. It's been a joy getting to know you all better.",Princess Celestia,What is going on here? Twilight?
10,A Bird in the Hoof,Princess Celestia,Princess Celestia,"Really? Well, if I must... I'm sorry, everypony. I'm afraid I have to cut the party short. The mayor has requested an audience with me. Royal duty calls. Thank you for a wonderful time. It's been a joy getting to know you all better.",What is going on here? Twilight?,Princess Celestia,"Oh, stop fooling around, Philomena. You're scaring everypony."
11,A Bird in the Hoof,Princess Celestia,Princess Celestia,What is going on here? Twilight?,"Oh, stop fooling around, Philomena. You're scaring everypony.",Princess Celestia,"This is Philomena. She's quite a sight, as I said. But nothing unusual for a phoenix. Isn't that right, Philomena?"
