line_id,title,pony,prev_pony,prev_dialog,dialog,next_pony,next_dialog
1,28 Pranks Later,Sweetie Belle,,,What happened to all of our friends?,Sweetie Belle,We wanna hit every house in Ponyville!
2,28 Pranks Later,Sweetie Belle,Sweetie Belle,What happened to all of our friends?,We wanna hit every house in Ponyville!,Sweetie Belle,Hmm. The sewing machine cake is actually better than the cake cake.
3,28 Pranks Later,Sweetie Belle,Sweetie Belle,We wanna hit every house in Ponyville!,Hmm. The sewing machine cake is actually better than the cake cake.,Sweetie Belle,So how do we get it down?
4,28 Pranks Later,Sweetie Belle,Sweetie Belle,Hmm. The sewing machine cake is actually better than the cake cake.,So how do we get it down?,Sweetie Belle,What does it mean?
5,28 Pranks Later,Sweetie Belle,Sweetie Belle,So how do we get it down?,What does it mean?,Sweetie Belle,[lips smacking] Hmm. Not bad.
6,28 Pranks Later,Sweetie Belle,Sweetie Belle,What does it mean?,[lips smacking] Hmm. Not bad.,Sweetie Belle,We need to find somewhere to hide!
7,28 Pranks Later,Sweetie Belle,Sweetie Belle,[lips smacking] Hmm. Not bad.,We need to find somewhere to hide!,,
8,Appleoosa's Most Wanted,Sweetie Belle,,,Do either of you have any idea where we are?,Sweetie Belle,"Come on, we've gone far enough! It's time to go back!"
9,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,Do either of you have any idea where we are?,"Come on, we've gone far enough! It's time to go back!",Sweetie Belle,You mean you don't know?!
10,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,"Come on, we've gone far enough! It's time to go back!",You mean you don't know?!,Sweetie Belle,You can't do that! That's Trouble Shoes!
11,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,You mean you don't know?!,You can't do that! That's Trouble Shoes!,Sweetie Belle,Klutzy?
12,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,You can't do that! That's Trouble Shoes!,Klutzy?,Sweetie Belle,"You're right! He could still be in rodeos, just not the way he thought!"
13,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,Klutzy?,"You're right! He could still be in rodeos, just not the way he thought!",Sweetie Belle,Poor Trouble Shoes. I can't believe those mean judges would laugh at him like that.
14,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,"You're right! He could still be in rodeos, just not the way he thought!",Poor Trouble Shoes. I can't believe those mean judges would laugh at him like that.,Sweetie Belle,Worst idea ever.
15,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,Poor Trouble Shoes. I can't believe those mean judges would laugh at him like that.,Worst idea ever.,Sweetie Belle,[simultaneously] Woo-hoo!
16,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,Worst idea ever.,[simultaneously] Woo-hoo!,Sweetie Belle,That all depends on how you look at it.
17,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,[simultaneously] Woo-hoo!,That all depends on how you look at it.,Sweetie Belle,But he never wanted to ruin any rodeos! Those were just bad accidents!
18,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,That all depends on how you look at it.,But he never wanted to ruin any rodeos! Those were just bad accidents!,Sweetie Belle,I guess we did make things a little better.
19,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,But he never wanted to ruin any rodeos! Those were just bad accidents!,I guess we did make things a little better.,Sweetie Belle,It's actually kind of sweet of him to help us out like this.
20,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,I guess we did make things a little better.,It's actually kind of sweet of him to help us out like this.,Sweetie Belle,But isn't he a dangerous criminal?
21,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,It's actually kind of sweet of him to help us out like this.,But isn't he a dangerous criminal?,Sweetie Belle,"You sure about this, Scootaloo?"
22,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,But isn't he a dangerous criminal?,"You sure about this, Scootaloo?",Sweetie Belle,[simultaneously] Yeah...
23,Appleoosa's Most Wanted,Sweetie Belle,Sweetie Belle,"You sure about this, Scootaloo?",[simultaneously] Yeah...,Sweetie Belle,I hope nothing bad is going on.
