line_id,character,title,dialog,topic,notes
1,Sweetie Belle,28 Pranks Later,We wanna hit every house in Ponyville!,,
2,Sweetie Belle,28 Pranks Later,Hmm. The sewing machine cake is actually better than the cake cake.,,
3,Sweetie Belle,28 Pranks Later,What happened to all of our friends?,,
4,Sweetie Belle,Appleoosa's Most Wanted,I thought we weren't going to wander off again.,,
5,Sweetie Belle,Appleoosa's Most Wanted,It's actually kind of sweet of him to help us out like this.,,
6,Sweetie Belle,Appleoosa's Most Wanted,"Come on, we've gone far enough! It's time to go back!",,
7,Sweetie Belle,Appleoosa's Most Wanted,Poor Trouble Shoes. I can't believe those mean judges would laugh at him like that.,,
8,Sweetie Belle,Appleoosa's Most Wanted,That all depends on how you look at it.,,
9,Sweetie Belle,Appleoosa's Most Wanted,"I don't know... All these events look a little, well, dangerous.",,
10,Sweetie Belle,Appleoosa's Most Wanted,But he never wanted to ruin any rodeos! Those were just bad accidents!,,
11,Sweetie Belle,Bloom & Gloom,But maybe we'll see you later.,,
12,Sweetie Belle,Bloom & Gloom,It's lucky we're all scared of the same things. That way we can help and remind each other to just be who we are!,,
13,Sweetie Belle,Bloom & Gloom,"I'm glad she's happy, but I sure wouldn't want to be up to my flank in mane hair all day. Can you imagine getting stuck with a cutie mark you didn't like?",,
14,Sweetie Belle,Bloom & Gloom,"Um, yeah... the thing is...",,
15,Sweetie Belle,Bloom & Gloom,And we certainly don't have time to hang out at an old clubhouse.,,
16,Sweetie Belle,Bloom & Gloom,"Yeah. Apple Bloom, what's this all about?",,
17,Sweetie Belle,Brotherhooves Social,Pretty great they're letting you participate even though you're not technically sisters.,,
18,Sweetie Belle,Brotherhooves Social,"It's sweet he wants to help you out like this. Weird, but sweet.",,
19,Sweetie Belle,Brotherhooves Social,"Hey, Apple Bloom, the Social's gonna start in a few hours. Thought you might want to go with us.",,
20,Sweetie Belle,Brotherhooves Social,"That's awful nice of you to say, cousin Orchard Blossom! I've been told before I'm pretty observant.",,
21,Sweetie Belle,Call of the Cutie,"No, it means she's full of potential.",,
22,Sweetie Belle,Call of the Cutie,Let's see if there are any cookies.,,
23,Sweetie Belle,Call of the Cutie,"She could be a great scientist, or an amazing artist, or a famous writer. She could even be mayor of Ponyville someday.",,
24,Sweetie Belle,Campfire Tales,We got to hear legendary stories and go on an adventure.,,
25,Sweetie Belle,Campfire Tales,And I've got the bites to prove it.,,
26,Sweetie Belle,Campfire Tales,"Yup. This time, you only packed three suitcases.",,
27,Sweetie Belle,Campfire Tales,I think she's my favorite legend too.,,
28,Sweetie Belle,Campfire Tales,"How? Our camp was so pretty, and this cave is so... not.",,
29,Sweetie Belle,Campfire Tales,Wait a minute. All by himself?,,
30,Sweetie Belle,Crusaders of the Lost Mark,"Not really, since we kind of overheard you yesterday.",,
31,Sweetie Belle,Crusaders of the Lost Mark,Especially where our playground equipment should be?,,
32,Sweetie Belle,Crusaders of the Lost Mark,"Yeah, and I think that's way more important than worrying about our cutie marks, don't you?",,
