line_id,character,dialog,title
6,Discord,"My problem? How is the fact that Twilight decided to put an incompetent, power-hungry unicorn in charge of her school my problem?!",A Matter of Principals
10,Discord,"[writing] ""Item one <U+0096> Gravity is optional.""",A Matter of Principals
11,Discord,"""Item two <U+0096> The school's new mascot is an ambidextrous marmoset.""",A Matter of Principals
12,Discord,"I accept! I mean, I-I-I suppose I can find some time in my busy schedule to help you out. But I will need my own office, expense account, parking space...",A Matter of Principals
15,Discord,"[chuckles] Well, with a few surprises.",A Matter of Principals
71,Discord,I seal Sir McBiggun in a magic bubble until he stops laughing!,Dungeons & Discords
74,Discord,"Well, I suppose I could squeeze you in if I move a few very important ponies around.",Dungeons & Discords
75,Discord,"[reverberating] You find yourself on the battlefield. A barrage of arrows rains down on you. If you roll a fifteen or higher, the shield protects you. Fourteen or lower and, well... [laughs] You get the idea.",Dungeons & Discords
76,Discord,"[snorts] Can I suggest we take a break and, I don't know, go out and have some fun? Ponyville's not going to paint itself red.",Dungeons & Discords
91,Discord,[scoffs] Consider it considered.,Dungeons & Discords
93,Discord,[clears throat] [mumbling] I'm listening.,Dungeons & Discords
95,Discord,"Oh, this game is insufferable! Let me show you a real guys' night!",Dungeons & Discords
96,Discord,"So, shall we hop to it? I made a list of the rowdiest establishments in Ponyville. It's rather short.",Dungeons & Discords
104,Discord,I stick my head through the bars and demand for the immediate release of the Lord of Chaos.,Dungeons & Discords
116,Discord,"Oh, yes, very well, I will fix it. I only ask one thing in return.",Keep Calm and Flutter On
128,Discord,"Now, listen, Smooze. I need to make this a party of one for a little while. Just stay out here until I come for you.",Make New Friends but Keep Discord
155,Discord,You know what? Cancel my order.,Make New Friends but Keep Discord
184,Discord,"Huzzah, fellow adventurers! Shall we storm the ramparts of Squizard's castle to reclaim Calico's Ring of Imperceptibility?",The Break Up Break Down
201,Discord,"Listen closely, this is important. A weighty choice is yours to make:<U+00A0>the right selection or a big mistake. If a wrong choice you choose to pursue, the foundations of home will crumble without you.",The Return of Harmony Part 1
210,Discord,"[laughter] Everypony has to play, or the game is over and I win.",The Return of Harmony Part 2
221,Discord,"Well, [clears throat] you'll want to head north, turn left, th<U+0097> Oh... You know, it'd be much easier if I took you there myself.",Three's A Crowd
259,Discord,This seems like one of those moments where we need a plan.,To Where and Back Again - Part 2
261,Discord,Ugh. I really think we need a new code word!,To Where and Back Again - Part 2
277,Discord,"Wait a minute, where's my throne?!",Twilight's Kingdom - Part 2
304,Discord,"A little to the left! No, my left! A little bit more... Oh, no, no, no, no, no, a little more right!",What About Discord?
1,Princess Celestia,What is going on here? Twilight?,A Bird in the Hoof
2,Princess Celestia,Nothing means more to me than the well-being of all my subjects.,A Bird in the Hoof
4,Princess Celestia,"Of course not, my little pony. Where on Earth would you get such an idea?",A Bird in the Hoof
6,Princess Celestia,"Really? Well, if I must... I'm sorry, everypony. I'm afraid I have to cut the party short. The mayor has requested an audience with me. Royal duty calls. Thank you for a wonderful time. It's been a joy getting to know you all better.",A Bird in the Hoof
9,Princess Celestia,"As do I. As Princess, I care deeply about all creatures, great and small.",A Bird in the Hoof
17,Princess Celestia,"Perfect, girls. No need to rush. Then of course, Cadance will enter.",A Canterlot Wedding - Part 1
22,Princess Celestia,"No. You won't. You may have made it impossible for Shining Armor to perform his spell, but now that you have so foolishly revealed your true self, I can protect my subjects from you!",A Canterlot Wedding - Part 2
29,Princess Celestia,"You think I don't get tired? I'm exhausted! Oh, I apologize for not noticing flowers in a wall sconce. But by the time I get to retire for the night, I can barely see straight! Even so, I still make an effort to smile!",A Royal Problem
30,Princess Celestia,"And you have it so much worse, do you?! You've spent your evenings flitting around giving ponies lovely dreams! Oh, it sounds just awful!",A Royal Problem
31,Princess Celestia,"Don't worry, Starlight. I know how to handle Nightmare Moon.",A Royal Problem
35,Princess Celestia,"Oh, Luna, I can't do this! I was wrong! Your job is so incredibly hard! You have to battle nightmares and work in the darkness and do it all alone! It takes such a brave, strong pony to do what you do!",A Royal Problem
36,Princess Celestia,[gasps] What have you done?!,A Royal Problem
40,Princess Celestia,"You can try. I haven't had an easy day in, well, ever! But now, I get to sleep, and tonight will be a breeze. All right, Starlight Glimmer. We will do this.",A Royal Problem
41,Princess Celestia,"Now, to save some ponies from their nightmares. Which aren't real, so it shouldn't be too hard, right? Right. Good call, Celestia! And I'm talking to myself again.",A Royal Problem
44,Princess Celestia,Only because you were here. I don't know how you do this alone.,A Royal Problem
47,Princess Celestia,Did she now? It seems my duties were harder than my sister expected.,A Royal Problem
48,Princess Celestia,"And yet you know exactly what it's like to be me?! Oh, please!",A Royal Problem
51,Princess Celestia,Moon raised! It's even easier than raising the sun. [chuckles] What's next?,A Royal Problem
54,Princess Celestia,Starlight! I'm here now. Tell me what's wrong.,A Royal Problem
55,Princess Celestia,It's Starlight Glimmer's. She's afraid this is what will happen if we continue to fight!,A Royal Problem
63,Princess Celestia,"[voiceover] Uh, yes, Spike. I had a decision to make. Oh, but it wasn't easy.",Celestial Advice
65,Princess Celestia,"Only you can make that decision. It's a difficult one, but your heart knows what's right, even as it hurts.",Celestial Advice
72,Princess Celestia,"Oh, Twilight, I'm not. I'm laughing because I had the exact same fears you're having.",Celestial Advice
73,Princess Celestia,"Maybe I could close the library or throw a party in the castle. Oh, she'd have to talk to the other fillies then! Oh. I must send her away.",Celestial Advice
80,Princess Celestia,"Hmm. I was not aware that I was an expression. An appropriate one, of course, for even I don't know the answer. This is a momentous decision. You must consider all the possibilities.",Celestial Advice
83,Princess Celestia,[voiceover] I kept you in Canterlot longer than I should have.,Celestial Advice
91,Princess Celestia,"Spike, take a note, please. I, Princess Celestia, hereby decree that the unicorn Twilight Sparkle shall take on a new mission for Equestria. She must continue to study the magic of friendship. She must report to me her findings from her new home in Ponyville.","Friendship is Magic, part 2"
97,Princess Celestia,There's usually some crisis we have to deal with. Somepony always needs our help. But today<U+0097>,Gauntlet of Fire
101,Princess Celestia,Visualize with me. You're a princess. Regal. Commanding. Confident. Feel the rising sun's warmth. Equestria needs you.,Horse Play
104,Princess Celestia,"The pleasure is all mine! If there's anything I can do to become a better Equestrian thespian, I will! What do you have planned?",Horse Play
106,Princess Celestia,[whispering] Spike! Improvise!,Horse Play
107,Princess Celestia,"Rainbow Dash, bring us some clouds and place them behind the stage. There, that's our new backdrop. Starlight, do you have a copy of the script?",Horse Play
111,Princess Celestia,You want to give me acting lessons?,Horse Play
113,Princess Celestia,"Yes. But let's celebrate later. Right now, we have a show to do!",Horse Play
117,Princess Celestia,"Fortunately, I know a thing or two about how to deal with those.",Horse Play
122,Princess Celestia,"My love for Equestria and all the ponies in it! Twilight, you felt what I was emoting, didn't you?",Horse Play
124,Princess Celestia,"Spike, you narrate the play. Fluttershy will be our new lead.",Horse Play
129,Princess Celestia,"No longer in that role. Rarity, Applejack, Pinkie, Twilight, go calm the audience. Let them know the play will start in just a minute.",Horse Play
131,Princess Celestia,"Well... I don't know about that. Isn't there an old saying? ""The show must go on""? There may be a way for us to save the play yet.",Horse Play
135,Princess Celestia,You want me to star in your play?!,Horse Play
139,Princess Celestia,"I do. Now, I must return to Canterlot for Equestria's royal summit. You may release Discord when ready.",Keep Calm and Flutter On
140,Princess Celestia,"No need, Spike. I have them right here, and I've cast a spell so Discord can't take them and hide them again. Now where is Fluttershy? I believe she may know best how to begin reforming Discord.",Keep Calm and Flutter On
141,Princess Celestia,"I realize that this is a tall order, but I wouldn't ask if I weren't confident you could get him to use magic obediently of his own free will.",Keep Calm and Flutter On
142,Princess Celestia,Need I remind you that you are the ponies who turned him back into stone like this in the first place?,Keep Calm and Flutter On
143,Princess Celestia,"Yes, I understand. But I have use for Discord's magic if it can be reformed to serve good instead of evil. This is why I've brought Discord here, because I believe that you are the ponies who can help him do just that.",Keep Calm and Flutter On
146,Princess Celestia,"Your friend Spike made me aware that you were letting your fears get the best of you. I commend him for taking your feelings seriously. Now, if you will all excuse me, I must return to Canterlot. I'm expecting some mail.",Lesson Zero
147,Princess Celestia,"Very well. I'll forget Twilight's ""punishment"" on one condition.",Lesson Zero
152,Princess Celestia,That's because she is a princess.,Magical Mystery Cure
153,Princess Celestia,"Since you've come to Ponyville, you've displayed the charity, compassion, devotion, integrity, optimism, and of course, the leadership of a true princess.",Magical Mystery Cure
155,Princess Celestia,"We are gathered here today in celebration of a momentous occasion. My most faithful student, Twilight Sparkle, has done many extraordinary things since she's lived in Ponyville. She even helped reunite me with my sister, Princess Luna. But today, Twilight Sparkle did something extraordinary. She created new magic, proving without a doubt that she is ready to be crowned Equestria's newest princess. Fillies and gentlecolts, may I present for the very first time, Princess Twilight Sparkle!",Magical Mystery Cure
156,Princess Celestia,"[echoing] Congratulations, Twilight. I knew you could do it.",Magical Mystery Cure
157,Princess Celestia,"Not in the same way as before. I'll still be here to help and guide you, but we're all your students now, too. You are an inspiration to us all, Twilight.",Magical Mystery Cure
158,Princess Celestia,[giggles] There will be time for all of that later.,Magical Mystery Cure
159,Princess Celestia,"I must say, it's been very nice having you take over some of the planning responsibilities for this year's Gala.",Make New Friends but Keep Discord
162,Princess Celestia,You have nothing to apologize for. This has been the most fun Gala in years!,Make New Friends but Keep Discord
164,Princess Celestia,And you did a wonderful job of it. You and your friends.,Party Pooped
165,Princess Celestia,Now I'd like to turn things over to the one who organized the summit: Princess Twilight Sparkle!,Princess Spike
166,Princess Celestia,"You delegates have traveled far and wide to represent your cities as we seek to celebrate and learn from all the unique places that make up our wonderful land of Equestria. At tonight's welcome reception, Princess Cadance will dedicate this beautiful friendship statue made up of gemstones from each of your home cities.",Princess Spike
167,Princess Celestia,"No need for that now, Princess Twilight.",Princess Twilight Sparkle - Part 1
168,Princess Celestia,[giggles] No need to apologize.,Princess Twilight Sparkle - Part 1
174,Princess Celestia,"[gasp] Play time is over for you, Discord.",Princess Twilight Sparkle - Part 2
175,Princess Celestia,"Play time is over for you, Discord!",Princess Twilight Sparkle - Part 2
176,Princess Celestia,"Oh, dear sister. I am sorry, but you have given me no choice but to use these.",Princess Twilight Sparkle - Part 2
177,Princess Celestia,We know how difficult it must have been for you to give up the Elements. It took great courage to relinquish them.,Princess Twilight Sparkle - Part 2
178,Princess Celestia,"Luna, I will not fight you! You must lower the moon! It is your duty!",Princess Twilight Sparkle - Part 2
179,Princess Celestia,I do not know where they are. But I do know that it is a mystery you will not be solving alone.,Princess Twilight Sparkle - Part 2
181,Princess Celestia,"Citizens of Equestria, it is no longer with a heavy heart but with great joy that I raise the summer sun. For this celebration now represents not the defeat of Nightmare Moon, but the return of my sister, Princess Luna.",Princess Twilight Sparkle - Part 2
182,Princess Celestia,"We have managed to discover the only means by which we can defeat Discord and free the citizens of Equestria. Even without these elements, the Tree of Harmony will possess a powerful magic. As long as that magic remains, it will continue to control and contain all that grows here.",Princess Twilight Sparkle - Part 2
183,Princess Celestia,Of course not. You've never run a school before. The Equestria Education Association is a board of learned ponies that oversee every school in Equestria.,School Daze - Part 1
185,Princess Celestia,"Not even a princess can do whatever she likes when it comes to shaping young pony minds. The EEA ensures that whether it's unicorns studying magic, Pegasi learning weather, or Earth ponies researching agriculture, all schools are held to the same high standard. They'll need to approve your plan before you can move forward.",School Daze - Part 1
188,Princess Celestia,"Find the students quickly, Twilight, or I fear our world will be at war!",School Daze - Part 2
191,Princess Celestia,"Please, everycreature! If you can just explain what happened...",School Daze - Part 2
192,Princess Celestia,"Hold on, please! I'm sure Princess Twilight Sparkle has a good explanation for all of this.",School Daze - Part 2
198,Princess Celestia,"Thank you, all. We will search for ways to protect Equestria in your absence.",School Raze - Part 1
201,Princess Celestia,"As for Cozy Glow, I can assure you <U+0097> where she's going, she won't be causing any more trouble.",School Raze - Part 2
205,Princess Celestia,Then I hope you will return to Canterlot on occasion and share the wisdom of your great experience with the next generation of ponies.,Shadow Play - Part 2
206,Princess Celestia,"Well, it has been over a thousand years. Will you stay here and teach magic once again? My sister and I have such fond memories of your lessons.",Shadow Play - Part 2
213,Princess Celestia,"I know she is, my dear. That's why, for her incredible act of bravery and her spectacular sonic rainboom, I'm presenting the grand prize for Best Young Flyer to this year's winner, Miss Rainbow Dash!",Sonic Rainboom
215,Princess Celestia,"Unfortunately, that visit is going to have to wait for another time. I'm afraid an emergency has come up in Fillydelphia. Apparently there's been some sort of infestation.",Swarm of the Century
220,Princess Celestia,"Yes, a swarm of incredibly bothersome creatures has invaded the poor town. I'm sorry Twilight, to have to put you all through so much trouble.",Swarm of the Century
236,Princess Celestia,"She will succeed at her task. And when she does, we'll know that she is that much closer to being ready.",The Crystal Empire - Part 1
