line_id,character,dialog,title
2,Discord,"[through mock tears] I hate goodbyes, don't you? I just go to pieces.",A Matter of Principals
3,Discord,"Why, I'm a student of friendship, of course. Unless you don't think you're good enough to teach me.",A Matter of Principals
4,Discord,"Fine! From now on, I won't try to help. At! All!",A Matter of Principals
7,Discord,Oh! Some thanks for all my help. And after I hired all those substitute teachers for you.,A Matter of Principals
8,Discord,Uh... [stuttering] I don't know what you're getting at.,A Matter of Principals
9,Discord,"Oh, I better take this. Hello?",A Matter of Principals
13,Discord,"Oh, he did not! And what did you say?",A Matter of Principals
16,Discord,"Or we could go cause a little mischief. I know a trick that'll turn Celestia's castle into cheese. Do you think it's a ""gouda"" idea? [laughs] That's just the first of many cheese jokes if we go down this path.",Celestial Advice
17,Discord,"You already planned the perfect moment during the party to make the grand announcement to everypony about your plan. Brava, Twilight! I can't wait to tell your plan to Fluttershy and the others!",Celestial Advice
18,Discord,"No, no. Clearly, Starlight is beyond basic friendship lessons. She just won a medal, for Equestria's sake. I thought you were joking. You are joking, right?",Celestial Advice
19,Discord,"You weren't coming up with a plan just now, were you? Oh, dear. This could be pretty embarrassing for you.",Celestial Advice
20,Discord,Psst! I see what you're doing.,Celestial Advice
21,Discord,"Probably because you're not as close as you think you are. [laughs] Just kidding. She wanted it to be a big surprise. Just between us, she's getting ready to make a big announcement!",Celestial Advice
22,Discord,Darn it. I was hoping you would send her to my realm. We could've been roomies. Way to not pick up what I was putting down.,Celestial Advice
24,Discord,"Yes, Starlight is student of the year, isn't she? She has so much potential. So, what are we going to do with her? And by ""we"", I definitely mean ""you"". Being her mentor and all that, her destiny falls squarely on your haunches.",Celestial Advice
27,Discord,"And that's why you're the party expert. Thank you, Pinkie Pie. I feel so much better now.",Discordant Harmony
33,Discord,"Make Fluttershy feel comfortable, make Fluttershy feel comfortable, comfortable, comfortable... Well, I mean, that shouldn't be a problem.",Discordant Harmony
39,Discord,"Yes, you can. Your finest tea set, please. I want only the best for my friend Fluttershy.",Discordant Harmony
42,Discord,"Oh, dear. That might be a problem.",Discordant Harmony
46,Discord,"Okay. Since Fluttershy always goes out of her way to host the perfect tea party for me, how do I make my tea party for her even more perfect?",Discordant Harmony
53,Discord,"Got it! We know Fluttershy, and we know what she likes. First of all, we need to get rid of all the new stuff.",Discordant Harmony
57,Discord,"Yes... judgy... clerk... pony! Why is it such a surprise? Sure, she's on the quieter side, and I'm a bit, well, more showy. But I'll have you know we're besties. And that's why I need the [echoing] best tea set!",Discordant Harmony
60,Discord,And I'm almost certain she likes stairs...,Discordant Harmony
64,Discord,"Oh, wonderful! I'll be enjoying her company tomorrow, so I will be needing your very best tea, please. Something especially special.",Discordant Harmony
65,Discord,"Oh, dear Fluttershy, worry not. I can assure you that for the first time, I'm feeling perfectly normal. Now, let me top you off.",Discordant Harmony
66,Discord,It really is nice having you here.,Discordant Harmony
67,Discord,Enjoy your all-expense-paid trip around Equestria!,Discordant Harmony
70,Discord,"[to himself] Oh, here we go...",Dungeons & Discords
81,Discord,"[gravelly accent] June, honey, be a dear. Reschedule Luna and Cay-Cay. [normal, aside] That's what I call Princess Celestia, what a hoot! [gravelly accent] In fact, clear the whole evening. Tonight is guys' night. These fellas invited me to spice things up and bring a little class to the whole affair.",Dungeons & Discords
83,Discord,Couldn't I just come with you instead?,Dungeons & Discords
87,Discord,"Don't you laugh at me, Big Mac! Does it really say that? Let me see.",Dungeons & Discords
94,Discord,This can't be. I'm supposed to feel sorry for you because I'm me and you're you.,Dungeons & Discords
97,Discord,"Oh, Twilight's friend and Applejack's monosyllabic brother, if only I weren't super busy this evening.",Dungeons & Discords
106,Discord,"Oh, yes. Thank you, Fluttershy, for your concern. If only your pony friends could be as considerate...",Keep Calm and Flutter On
107,Discord,"Oh. Well, it does, very much so. You're so very kind, my dear Fluttershy. I always knew that you were the understanding one, not like those nasty friends of yours.",Keep Calm and Flutter On
108,Discord,Oh... [sniggers] He's adorable the way he is.,Keep Calm and Flutter On
111,Discord,"Oh, our pony guests! [upper class voice] We're so delighted that you've come. Please, do come in.",Keep Calm and Flutter On
112,Discord,"Buh-bye, have a nice time! Everything is fine here. Bye bye... Bye bye...",Keep Calm and Flutter On
115,Discord,"Where are you going? What's wrong, pal?",Keep Calm and Flutter On
123,Discord,"I like it better my way, but... I guess when you're friends, you can't always have things exactly your way all the time, eh?",Keep Calm and Flutter On
126,Discord,"""Oh, Tree Hugger. You're such a great friend. So much funnier than unfunny old Discord!""",Make New Friends but Keep Discord
138,Discord,"Yes, yes, yes, of course. Tell me, have you seen Fluttershy anywhere?",Make New Friends but Keep Discord
143,Discord,"""No, no, here. Take my plus-one. I insist. Before somepony else thinks he's my friend and expects to be asked instead. What's that? You're worried Discord might be upset?"" Not a problem! I can make more new friends anytime I want. It's not as if any of this actually mattered! I don't even want to go to the Gala anyway!",Make New Friends but Keep Discord
152,Discord,"Good evening, everypony! What a glorious affair!",Make New Friends but Keep Discord
153,Discord,"You? [laughs] Of course not! You think I don't have other friends? I'm centuries old! I was talking about the Smooze! Smooze Face, the Smoozinator <U+0096> well, I mean that's what we called him back in college. Smooze! I would like you to meet Fluttershy and, um, hmm... Tree... how'd you say it... Tree Embrace?",Make New Friends but Keep Discord
