line_id,character,dialog,title
25,Discord,"Yes, because you did it all by yourself.",Celestial Advice
77,Discord,"Curse myself for attending this infernal evening? Ohhh, no, you mean in the game.",Dungeons & Discords
80,Discord,"Oh, you mean like trapping best friend ponies in hedge mazes and turning them against each other. Those were the days.",Dungeons & Discords
82,Discord,I'm not intelligent? I cast it anyway because this game is stupid.,Dungeons & Discords
84,Discord,This spell here. I transform him into a parsnip.,Dungeons & Discords
103,Discord,"[laughing] This is the life! Jazz, dancing, the best table magic can buy! This is what guys' night is all about. Am I right, fellas?",Dungeons & Discords
109,Discord,"Oh, well, I don't know about that. Mistakes happen. Oh, look, everypony, dancing candles!",Keep Calm and Flutter On
113,Discord,I ask that you never use your Element of Harmony against me. As a sign of our friendship.,Keep Calm and Flutter On
129,Discord,"I've only got these tiny mismatched wings, and even I can fly better than Twilight Sparkle! Am I right? Pchoo!",Make New Friends but Keep Discord
144,Discord,"Oh, your chakras. [laughs nervously] Fair enough.",Make New Friends but Keep Discord
151,Discord,Relax. I'm not going to hurt you. I'm simply going to send you to another dimension. I can't have you interfering in my relationship with Fluttershy anymore!,Make New Friends but Keep Discord
161,Discord,I guess every being in Equestria is funny today.,Make New Friends but Keep Discord
167,Discord,"[singing] Winter Wrap Up, Winter Wrap-ooh! [laughs] Now, Twilight, you know Princess Celestia said that you were to give me a heads up before you summon me with that little spell she gave you. In case you haven't noticed, I was in the middle of a particularly invigorating shower.",Princess Twilight Sparkle - Part 1
173,Discord,"Oh, I doubt that. [munching] Hungry? [voice over] Well, obviously things didn't go according to my original plan. My plunderseeds should have stolen the magic from the Tree of Harmony and captured Princess Celestia and Princess Luna thousands of moons ago. Alas, it seems the tree had enough magic to keep the seeds from growing up big and strong. Until now, that is.",Princess Twilight Sparkle - Part 2
177,Discord,"Bravo, ladies, bravo! How ever did you save the day this time? Blast the beastie with your magic necklaces, I presume? Where are those little trinkets of yours? You know, the ones you use to send me back to my extremely uncomfortable stone prison?",Princess Twilight Sparkle - Part 2
180,Discord,"Calico's Ring of Imperceptibility isn't going to reclaim itself, you know.",The Break Up Break Down
182,Discord,Ta-da! Happy Hearts and Hooves Day!,The Break Up Break Down
