line_id,character,dialog,title
1,Discord,Really? I thought there must be some mistake.,A Matter of Principals
5,Discord,"To fill in for Twilight, of course, as head-draconequus. I seem to recall a whole song about how this school is where you make your own rules. Now, who better at that than me?",A Matter of Principals
14,Discord,But then we'd miss out on all those delightful misadventures.,A Matter of Principals
23,Discord,"Oh, Starlight. Princess Twilight has something very important to tell us. Well, just you, really, but I'm nosy and I want to hear.",Celestial Advice
26,Discord,Anytime. I really do love being helpful.,Celestial Advice
30,Discord,Do something chaotic? I'll try...,Discordant Harmony
34,Discord,Oops! [laughs] I forgot that I still had this on!,Discordant Harmony
35,Discord,Because you and I don't make sense to anypony else.,Discordant Harmony
36,Discord,Of course! I should get her the best of everything. Why didn't I think of that? ...Well? Are you going to answer me or not?,Discordant Harmony
41,Discord,"There you go. Back to normal, just the way you like it. See you tomorrow!",Discordant Harmony
47,Discord,"Me, too! I'm so excited! I can't wait! No, really, I can't! How about we have the tea party tomorrow afternoon?",Discordant Harmony
48,Discord,"Well, whatever do you mean? This is just me being me.",Discordant Harmony
49,Discord,"[chuckling] Well! In that case, I certainly don't need to be wearing this.",Discordant Harmony
52,Discord,Oh. I never realized how much work you put into hosting these tea parties.,Discordant Harmony
56,Discord,"No, no, no, no, no! I've been taking advantage of your hospitality for far too long. It's high time I do something about it. What to do, what to do...",Discordant Harmony
58,Discord,"I know. I was afraid that if you saw exactly how different we are, you wouldn't want to be friends anymore.",Discordant Harmony
59,Discord,"Well, that's okay, because I've never hosted a tea party before.",Discordant Harmony
61,Discord,"Actually, madam, I'm talking to myself.",Discordant Harmony
62,Discord,Maybe I just need another set of eyes on this. What do you think?,Discordant Harmony
72,Discord,"Oh, please. Don't stoop to tedious reverse psychology. You're better than that.",Dungeons & Discords
73,Discord,"Uh... [stammering] No, no, actually, that's not what I meant to say... I'm... sssssss...",Dungeons & Discords
78,Discord,[reverberating] [laughs] Aren't games fun?,Dungeons & Discords
79,Discord,"I ruined your night, and you don't even think I'm cool? Ugh. [zap] [muffled] How embarrassing. I should go. [normal] I have a lot of other friends I need to see tonight.",Dungeons & Discords
85,Discord,Games? I love games. I'm great at games.,Dungeons & Discords
88,Discord,"If I'm the worst, then why did you invite me?",Dungeons & Discords
89,Discord,"I already have the best name in the universe. Why would I change it for something like ""Captain Wuzz""?",Dungeons & Discords
90,Discord,"That does sound fun, actually...",Dungeons & Discords
98,Discord,"Technically, the fun starts when I arrive, but I'll make sure it's around sunset. Adieu, fellas.",Dungeons & Discords
99,Discord,"I'm trying to say I'm sorry, all right?! I'm sorry for ruining your game, and I'm sorry that I thought I was better than you! [pants] [quickly] Now let's play before this evening gets any sappier, shall we?",Dungeons & Discords
100,Discord,Isn't this what every gamer wants? To live the game? Like this?!,Dungeons & Discords
102,Discord,Sounds just as miserable as the other options. So fine.,Dungeons & Discords
105,Discord,"Yes, Princess, I'm ready to use my magic for good instead of evil. [under his breath] Most of the time.",Keep Calm and Flutter On
110,Discord,Now why in the world would I ever try to do a thing like that?,Keep Calm and Flutter On
114,Discord,Wh-what?! Look at me! I'm practically reformed already.,Keep Calm and Flutter On
118,Discord,"No, I think you just made them mad.",Keep Calm and Flutter On
119,Discord,Being turned to stone doesn't keep me from hearing every word Celestia says. Although I admit it makes rolling my eyes a challenge.,Keep Calm and Flutter On
120,Discord,"[blows raspberry] You know what else is adorable? You ponies truly believe that you can reform me, and that you're putting your faith in this one here to make it happen. Makes me wanna pinch your little horsey cheeks...",Keep Calm and Flutter On
121,Discord,"Oh, you wouldn't dare turn me back to stone and risk disappointing your precious princess.",Keep Calm and Flutter On
122,Discord,"[eating] Are you sure this isn't overdoing it? You said to make myself at home while you were gone, but I wouldn't want to overstep my bounds.",Keep Calm and Flutter On
124,Discord,Whoops! [chuckles] I'm so sorry!,Keep Calm and Flutter On
125,Discord,"Oh, yes. Awful business, that. Mm.",Keep Calm and Flutter On
127,Discord,"You're supposed to say ""Who's there?""! This is the most basic of jokes!",Make New Friends but Keep Discord
130,Discord,"Yes, because that's what you did!",Make New Friends but Keep Discord
131,Discord,"Ohoho, but that's not all! When I went to look for them again, they were on the ceiling!",Make New Friends but Keep Discord
132,Discord,"Well, I'm glad you got that, because that's what is true. We are.",Make New Friends but Keep Discord
133,Discord,"[laughs nervously] Uh, well, perhaps you're into more observational humor.",Make New Friends but Keep Discord
134,Discord,"Fluttershy, tell the Hugs here about the time that we went to the store and came back with two cakes instead of one, because that's how crazy we are when we're together.",Make New Friends but Keep Discord
136,Discord,"Yes, yes, yes, I believe I got that!",Make New Friends but Keep Discord
139,Discord,"Uh... [stuttering] No, I suppose not. It would just mean that I'd have different friends for different things... Oh, oh, dear, it looks like I've perhaps overreacted just a skosh.",Make New Friends but Keep Discord
140,Discord,"Isn't it, though? And to think, it would never have happened had I come to the Gala as somepony else's plus-one.",Make New Friends but Keep Discord
141,Discord,We should all go out to dinner sometime?! Have you no heart?,Make New Friends but Keep Discord
142,Discord,Do you even know what you just said?,Make New Friends but Keep Discord
145,Discord,"Well, I guess we're just going to have to exclude them from our party this time. Oh, did I say that out loud? I mean, ta-ta.",Make New Friends but Keep Discord
146,Discord,"Oh, please. I have better things to do than to watch that thing all night. [laughs nervously] What I mean to say is, that thing is a dear, dear friend, and I'll make sure that the ooze, uh, that he can't help but secrete doesn't get on anypony else.",Make New Friends but Keep Discord
147,Discord,[to the Smooze] You are making me look like a fool in front of Fluttershy. I'll be back when the Gala is over.,Make New Friends but Keep Discord
148,Discord,Are you perhaps looking for me?,Make New Friends but Keep Discord
149,Discord,"He does have a yen for shiny things, the rascal.",Make New Friends but Keep Discord
150,Discord,"I owe you an apology, Smooze. I spent the whole evening thinking about my own feelings and never thinking about yours.",Make New Friends but Keep Discord
154,Discord,[grimly] Why is this so late?,Make New Friends but Keep Discord
164,Discord,"Why, [chuckles] whatever are you talking about?",Princess Twilight Sparkle - Part 1
165,Discord,"I suppose I could, but after all the hoof pointing and besmirching of my good name, I just don't know if I'm up to it.",Princess Twilight Sparkle - Part 1
166,Discord,"Don't get me wrong. I absolutely love what you've done with the place, but I couldn't possibly take responsibility. I'm reformed, don't you remember?",Princess Twilight Sparkle - Part 1
168,Discord,"I for one found it delightful. Sort of a one-pony theater piece, if you will. You should really consider taking it on the road.",Princess Twilight Sparkle - Part 2
171,Discord,I'm just surprised that you agreed to their plan. I never thought you'd be the kind of pony who would think she was better than everypony else.,Princess Twilight Sparkle - Part 2
174,Discord,I'm reformed. Don't you remember? Why don't you ask your zebra friend?,Princess Twilight Sparkle - Part 2
185,Discord,"[whispering] Yes, what did she do to deserve this?",The Break Up Break Down
192,Discord,"Well, she certainly doesn't seem to have appreciated it.",The Break Up Break Down
195,Discord,Oh. I should probably have said something.,The Break Up Break Down
198,Discord,"This is how cool guys lean against things. When you see a guy leaning against a thing looking this cool, you think, ""Wow! That guy doesn't have a care in Equestria. Not a guy who leans on things that cool.""",The Break Up Break Down
199,Discord,"[laughter] Make sense? Oh, what fun is there in making sense?",The Return of Harmony Part 1
204,Discord,It's hardly different. Your friends laugh at you all the time.,The Return of Harmony Part 1
205,Discord,"Oh, poor Pinkie Pie. And here I thought laughter made you happy.",The Return of Harmony Part 1
206,Discord,"Oh, I'd forgotten how grim you can be, Celestia. It's really quite boring.",The Return of Harmony Part 1
209,Discord,"Oh, I know much more than that, honest Applejack.",The Return of Harmony Part 1
212,Discord,"I certainly am. You've clearly out-dueled me, and now it's time to meet my fate. I'm prepared to be defeated now, ladies. Fire when ready.",The Return of Harmony Part 2
213,Discord,"[laughter] Chaos is a wonderful, wonderful thing.",The Return of Harmony Part 2
216,Discord,[laughter] It's just too entertaining.,The Return of Harmony Part 2
218,Discord,"Oh, you ponies are just the most fun I've had in aeons.",The Return of Harmony Part 2
222,Discord,"Well, of course I'm sick. The blue skin? These sneezes? Could somebody find me a fainting couch?",Three's A Crowd
225,Discord,"[sneezes] [blows nose] Because this condition has left me helpless, simply helpless! Why, I can barely lift a spoon.",Three's A Crowd
227,Discord,"[sniffing] No, not a ""what"", but a ""who"", dear.",Three's A Crowd
228,Discord,"Oh, dear, dear Princesses, I'm sorry to say that I'm sick. [hacks] Blue flu.",Three's A Crowd
253,Discord,"Well, it's decent chaos. I don't know if I'd call it ""total"".",To Where and Back Again - Part 2
254,Discord,"Well, if you think that you can do any better, be my guest!",To Where and Back Again - Part 2
256,Discord,"Oh, well. If at first you don't succeed...",To Where and Back Again - Part 2
260,Discord,"[sarcastic] Well, that's reassuring.",To Where and Back Again - Part 2
267,Discord,I have done nothing of the sort!,Twilight's Kingdom - Part 1
270,Discord,"[laughs] Oh, you're talking about me, I presume?",Twilight's Kingdom - Part 1
276,Discord,[weakly] But you said this was a sign of your gratitude and loyalty. A gift from someone close to you.,Twilight's Kingdom - Part 2
279,Discord,"Thank you, Twilight. [to Fluttershy, hushed] I'm sorry.",Twilight's Kingdom - Part 2
280,Discord,"Oh, my! I do love a good accessory. I suppose that's Rarity's influence.",Twilight's Kingdom - Part 2
282,Discord,"Tirek tricked me into believing that he could offer me something more valuable than friendship. But there is nothing worth more. I see that now. He lied when he said that this medallion was given as a sign of gratitude and loyalty. But when I say that it is a sign of our true friendship, I am telling the truth.",Twilight's Kingdom - Part 2
283,Discord,"[muffled] Oh, but you are, Fluttershy. You're the pony that taught me that friendship is magic. I had magic and friendship, and now I don't have either.",Twilight's Kingdom - Part 2
284,Discord,"[laughs] Oh, you're talking about me, I presume?",Twilight's Kingdom - Part 2
285,Discord,Or perhaps these things just take time.,Twilight's Kingdom - Part 2
286,Discord,Haven't you girls just learned so much?,Twilight's Kingdom - Part 2
289,Discord,"Certainly we can all agree that Princess Twilight learned a valuable lesson here <U+0096> that even she can have feelings of jealousy, that she should recognize said feelings rather than trying to pretend that she doesn't have them. Mm-hmm. Did I get the tiniest bit of glee out of watching her try to recreate our weekend of fun in the name of science? Oh, most definitely! But what's important here is that it was never my intent to make Twilight feel jealous. That's something that the old me would have tried to do. Orange you glad I've changed?",What About Discord?
290,Discord,You do seem to be turning a shade of... [gasps] orange!,What About Discord?
294,Discord,Of course none of this would've happened if I hadn't encouraged everypony not to invite you this weekend.,What About Discord?
