line_id,character,dialog,title
28,Discord,"[sips tea] It did rain the other day, however.",Discordant Harmony
31,Discord,"Okay, let's give these conversation cards a whirl. [clears throat, reading] ""It is very nice to see you today."" ""Have you read any good books lately?"" ""Your garden looks positively lovely.""",Discordant Harmony
40,Discord,What particularly nice weather we're having.,Discordant Harmony
69,Discord,Sit and watch? Fine. We'll play your game. [reverberating] Are you ready to enter the world of Ogres & Oubliettes?,Dungeons & Discords
86,Discord,"[gasps] Well, it's not my fault the new train route leads into an active volcano. Guess you'll have to stay.",Dungeons & Discords
101,Discord,"Oh, how kind of you to notice. It's the little details that really bring alternate dimensions to life, wouldn't you say?",Dungeons & Discords
117,Discord,"Hey there, Fluttershy, you want a turn? The water's great!",Keep Calm and Flutter On
135,Discord,"Oh. Well, you kind of left out all the fun and frivolity there. But I'm sure you got it, Tree Hugger.",Make New Friends but Keep Discord
156,Discord,"I'm doing her a favor, Fluttershy! It's a lovely dimension! White sand beaches, attentive wait staff... I mean, okay, the humidity isn't great, but where isn't that the case these days?",Make New Friends but Keep Discord
176,Discord,I have no idea. Those seeds I planted should have sprouted up ages ago.,Princess Twilight Sparkle - Part 2
191,Discord,How can they be happy if they aren't playing Ogres & Oubliettes?,The Break Up Break Down
193,Discord,"You did summon me for a rousing Guys' Night of Ogres & Oubliettes, did you not?",The Break Up Break Down
226,Discord,"Well, I couldn't travel that far in my condition. By the time I got there, I'd be too weak to even attempt to retrieve the flower.",Three's A Crowd
287,Discord,"[imitating Bob Ross] You see, we were all at Sweet Apple Acres, and I ended up turning the trees into the most<U+0097> [normal] Oh, who am I kidding? I simply can't do it justice. You really had to be there.",What About Discord?
3,Princess Celestia,"And I do appreciate that your heart was in the right place, child. But all you had to do was ask me and I could have told you Philomena was a phoenix and saved you all this trouble.",A Bird in the Hoof
5,Princess Celestia,"This is Philomena. She's quite a sight, as I said. But nothing unusual for a phoenix. Isn't that right, Philomena?",A Bird in the Hoof
9,Princess Celestia,"As do I. As Princess, I care deeply about all creatures, great and small.",A Bird in the Hoof
10,Princess Celestia,"She is quite a sight, isn't she?",A Bird in the Hoof
11,Princess Celestia,"Oh, stop fooling around, Philomena. You're scaring everypony.",A Bird in the Hoof
12,Princess Celestia,"A phoenix is a majestic and magical bird. While it appears healthy and happy most of the time, every so often it must renew itself by shedding all of its feathers and bursting into flame. [silently] Rather melodramatic, if you ask me. [loud again] It then rises from the ashes, fresh as a daisy. All just a normal part of the life cycle of a phoenix. I'm afraid mischievous little Philomena here took the occasion to have a little fun with you, Fluttershy. Say you're sorry, young lady.",A Bird in the Hoof
13,Princess Celestia,I understand from Twilight Sparkle's letters that you enjoy tending to the needs of woodland creatures.,A Bird in the Hoof
14,Princess Celestia,"Ah, Philomena, my pet. You're awake. Do say hello to our gracious hosts.",A Bird in the Hoof
70,Princess Celestia,"What if she runs into a manticore? Or what if she gets pulled into Tartarus? Or, worst of all, what if she doesn't get along with anypony?!",Celestial Advice
85,Princess Celestia,"Fall is one of my favorite seasons, so I came to celebrate the Running of the Leaves.",Fall Weather Friends
86,Princess Celestia,"Exactly, Twilight. Now, unfortunately, because the two of you were busy tricking each other instead of shaking down leaves, many of the lovely trees of Equestria are still covered.",Fall Weather Friends
223,Princess Celestia,"Ah, what is this? Oh ho ho, these creatures are adorable.",Swarm of the Century
261,Princess Celestia,"I wouldn't advise it, Rainbow Dash. Those storm clouds are not like the ones you know.",The Crystalling - Part 2
262,Princess Celestia,"I'm afraid Twilight is correct, and the storm clouds are already forming.",The Crystalling - Part 2
25,Sweetie Belle,And I've got the bites to prove it.,Campfire Tales
28,Sweetie Belle,"How? Our camp was so pretty, and this cave is so... not.",Campfire Tales
122,Sweetie Belle,"Awww, little fluffy Angel Bunny-kins! You're so cute! The natural weaves in his fluff are to die for!",Just for Sidekicks
124,Sweetie Belle,Isn't Angel just the cutest thing you've ever seen?!,Just for Sidekicks
227,Sweetie Belle,"But you could go with us and we could catch those creatures. We could be, umm... creature catchers!",Stare Master
237,Sweetie Belle,Cutie Mark Crusader chicken herders! Yay!,Stare Master
238,Sweetie Belle,"Halt, dangerous creature of the Everfree Forest. I am Sweetie Belle, the creature catcher, and I'm here to catch you!",Stare Master
240,Sweetie Belle,"Well, it's obvious, isn't it? Mount Aris is the best of all possible worlds. Pro - it's beautiful. Con - too far from Equestria. I think that pretty much sums it up.",Surf and/or Turf
245,Sweetie Belle,"Huh. Not much sunlight down here, is there?",Surf and/or Turf
246,Sweetie Belle,This is absolutely the best place ever! You are so lucky!,Surf and/or Turf
250,Sweetie Belle,"I don't know if I'd like being a Hippogriff. Part bird, part pony...",Surf and/or Turf
