topic,word,tf-idf
Friendship & Relationships,special,11.78350206951907
Friendship & Relationships,gonna,10.986122886681098
Friendship & Relationships,scootaloo,10.75055681536833
Friendship & Relationships,student,8.317766166719343
Friendship & Relationships,sparkle,8.317766166719343
Friendship & Relationships,my,8.022148498934001
Friendship & Relationships,yeah,7.690286020676768
Friendship & Relationships,dresses,7.690286020676768
Friendship & Relationships,might,7.6246189861593985
Friendship & Relationships,twilight,7.475183828552138
Identity & Personal Growth,cutie,16.635532333438686
Identity & Personal Growth,marks,10.986122886681098
Identity & Personal Growth,mark,10.39720770839918
Identity & Personal Growth,games,7.16703787691222
Identity & Personal Growth,stuff,6.591673732008658
Identity & Personal Growth,certainly,5.493061443340549
Identity & Personal Growth,went,5.375278407684165
Identity & Personal Growth,guy,5.375278407684165
Identity & Personal Growth,either,5.375278407684165
Identity & Personal Growth,recreate,5.375278407684165
Authority & Leadership,discord,9.704060527839234
Authority & Leadership,alone,6.591673732008658
Authority & Leadership,cadance,5.545177444479562
Authority & Leadership,harmony,5.493061443340549
Authority & Leadership,apologize,5.375278407684165
Authority & Leadership,will,5.287325147024683
Authority & Leadership,them,5.271046405406137
Authority & Leadership,ponies,4.865581297297973
Authority & Leadership,spike,4.852030263919617
Authority & Leadership,sparkle,4.852030263919617
"History, Lore, & Magic",harmony,10.986122886681098
"History, Lore, & Magic",elements,9.010913347279288
"History, Lore, & Magic",discord,9.010913347279288
"History, Lore, & Magic",has,8.109302162163289
"History, Lore, & Magic",spell,7.690286020676768
"History, Lore, & Magic",alicorn,7.16703787691222
"History, Lore, & Magic",book,7.16703787691222
"History, Lore, & Magic",dragon,7.16703787691222
"History, Lore, & Magic",magic,6.198932930994456
"History, Lore, & Magic",crystal,5.493061443340549
Nature & Animals,philomena,6.591673732008658
Nature & Animals,ogres,5.375278407684165
Nature & Animals,oubliettes,5.375278407684165
Nature & Animals,phoenix,4.394449154672439
Nature & Animals,ho,3.58351893845611
Nature & Animals,angel,3.58351893845611
Nature & Animals,creature,3.295836866004329
Nature & Animals,trees,2.1972245773362196
Nature & Animals,sight,2.1972245773362196
Nature & Animals,bird,2.1972245773362196
Food & Drink,cake,8.958797346140274
Food & Drink,tea,5.271046405406137
Food & Drink,delicious,3.58351893845611
Food & Drink,sugarcube,3.58351893845611
Food & Drink,punch,3.58351893845611
Food & Drink,green,2.1972245773362196
Food & Drink,hungry,2.1972245773362196
Food & Drink,weekend,2.1972245773362196
Food & Drink,needed,2.1972245773362196
Food & Drink,gonna,2.1972245773362196
