character,topic,percentage
Discord,Friendship & Relationships,28.57
Discord,Identity & Personal Growth,34.74
Discord,Authority & Leadership,8.12
Discord,"History, Lore, & Magic",15.91
Discord,Nature & Animals,4.55
Discord,Food & Drink,8.12
Princess Celestia,Friendship & Relationships,36.3
Princess Celestia,Identity & Personal Growth,8.25
Princess Celestia,Authority & Leadership,39.93
Princess Celestia,"History, Lore, & Magic",25.08
Princess Celestia,Nature & Animals,4.62
Princess Celestia,Food & Drink,2.64
Sweetie Belle,Friendship & Relationships,61.13
Sweetie Belle,Identity & Personal Growth,26.33
Sweetie Belle,Authority & Leadership,1.25
Sweetie Belle,"History, Lore, & Magic",5.02
Sweetie Belle,Nature & Animals,3.45
Sweetie Belle,Food & Drink,2.82
